73	1	29
49	1	32
31	1	85
23	1	49
13	-1	64
20	1	43
15	-1	52
54	-1	19
1	-1	62
44	1	82
12	1	26
6	-1	39
3	-1	29
32	1	17
83	1	44
75	1	80
45	-1	24
63	-1	4
68	1	73
17	-1	60
61	-1	0
67	-1	75
84	1	55
53	-1	5
12	-1	13
8	1	73
28	-1	82
47	-1	63
8	1	76
35	-1	83
47	1	60
85	-1	13
1	-1	4
74	-1	70
46	-1	58
8	1	70
68	1	86
51	-1	12
35	-1	11
33	-1	43
50	-1	67
84	1	50
66	1	87
80	1	81
57	-1	71
86	-1	4
80	-1	55
62	-1	51
27	1	17
86	-1	6
43	1	40
87	-1	9
71	-1	81
19	-1	70
57	-1	49
6	1	19
87	-1	54
86	-1	74
86	-1	76
9	1	25
76	1	47
60	1	48
37	1	83
86	1	73
19	-1	66
23	1	61
72	-1	28
47	-1	48
10	-1	5
47	-1	0
65	-1	17
35	-1	65
74	-1	58
52	-1	71
46	1	36
1	1	53
26	1	59
66	-1	25
75	-1	76
44	-1	54
39	1	61
48	-1	89
38	-1	40
85	1	77
32	1	85
29	1	61
51	-1	72
49	1	8
55	1	68
33	-1	11
74	1	46
20	-1	86
41	1	56
79	-1	12
18	-1	12
10	-1	23
69	-1	2
73	-1	68
11	1	8
30	-1	45
10	-1	27
45	1	64
68	-1	35
71	1	20
84	-1	25
47	1	21
55	1	59
67	1	38
82	-1	14
23	-1	81
24	1	37
69	-1	73
44	1	34
37	-1	78
24	-1	33
39	-1	4
85	-1	52
80	-1	42
42	-1	33
39	1	3
85	1	51
26	1	79
58	-1	27
43	-1	37
88	-1	24
39	-1	41
42	-1	16
10	1	13
54	-1	69
87	1	15
42	-1	5
41	-1	8
15	-1	88
24	-1	39
75	-1	23
42	1	0
24	1	22
33	-1	31
49	1	11
34	-1	28
75	-1	7
80	1	14
38	-1	70
33	1	7
56	-1	9
80	-1	10
69	-1	87
46	1	79
38	-1	77
85	-1	22
77	1	80
7	-1	78
71	1	45
68	-1	10
78	1	37
26	1	28
47	1	19
18	1	49
74	-1	18
74	1	12
78	-1	46
57	-1	17
46	-1	4
51	-1	38
18	-1	44
85	-1	30
1	1	84
53	1	56
22	1	16
53	-1	58
2	1	30
31	1	36
78	-1	1
39	1	25
11	1	57
12	-1	38
36	-1	63
19	1	35
56	-1	57
30	1	8
