53	1	17
20	1	41
41	1	17
32	-1	11
3	-1	31
54	-1	15
29	-1	8
29	1	6
52	-1	34
55	1	17
48	-1	54
58	-1	52
3	1	24
27	1	8
52	-1	45
26	1	37
9	1	13
12	1	18
46	1	57
26	-1	7
33	1	46
26	-1	1
15	-1	35
15	1	34
54	-1	33
36	-1	23
45	-1	9
6	1	15
45	-1	5
56	-1	28
5	-1	54
55	1	3
9	-1	29
7	1	12
47	1	49
40	1	20
54	-1	42
0	-1	28
47	-1	3
13	-1	55
25	-1	21
37	-1	14
5	-1	47
9	1	32
44	1	54
44	1	50
8	-1	40
24	-1	48
14	-1	2
1	1	15
32	1	56
51	-1	47
42	1	44
42	-1	40
10	-1	28
9	-1	48
0	1	14
58	-1	15
58	-1	10
12	-1	2
10	-1	27
48	-1	10
57	1	20
32	1	59
32	1	58
33	-1	16
34	1	37
9	1	7
8	-1	35
56	-1	37
15	-1	4
4	-1	44
31	1	51
43	1	4
0	-1	10
20	1	2
25	-1	19
2	1	13
48	1	23
11	1	33
17	1	39
47	-1	33
41	1	42
33	1	0
56	1	1
4	1	52
12	-1	43
37	1	45
4	-1	50
4	1	5
22	1	24
40	-1	53
5	-1	16
2	1	48
19	1	25
48	-1	38
33	1	36
23	1	22
26	1	21
32	1	39
34	1	21
26	1	27
27	-1	57
6	1	56
6	-1	57
54	-1	0
32	-1	43
18	1	49
28	1	22
10	-1	33
7	-1	44
2	-1	32
35	1	30
33	-1	26
11	-1	56
52	1	29
23	-1	32
17	-1	12
1	-1	13
44	-1	14
