53	-1	14
33	-1	59
3	1	33
25	1	59
58	1	69
15	-1	51
41	-1	63
59	-1	68
47	1	74
87	-1	73
63	1	9
5	1	75
67	1	79
47	1	66
61	1	6
80	1	85
15	1	45
53	1	0
47	1	68
42	-1	72
33	1	49
64	-1	15
17	1	79
87	-1	62
0	-1	3
16	1	22
32	-1	29
12	-1	16
4	1	81
55	-1	87
33	1	44
29	1	83
40	1	49
78	-1	62
47	-1	57
49	1	50
47	1	58
65	-1	74
27	1	18
2	-1	70
59	-1	88
71	1	18
71	1	16
2	-1	79
57	-1	45
37	-1	82
20	-1	24
57	-1	42
11	-1	83
23	-1	60
88	1	72
88	1	73
50	1	0
33	1	77
44	-1	61
13	1	50
15	1	27
67	1	48
77	1	56
80	1	67
85	-1	76
65	-1	64
74	-1	59
73	1	12
60	1	31
12	1	80
20	1	13
69	1	42
22	1	57
78	-1	82
36	1	17
38	1	41
44	1	50
18	-1	53
12	1	67
38	1	50
8	-1	42
69	-1	60
26	-1	86
38	-1	53
37	1	65
74	1	48
65	1	56
16	1	56
51	1	43
43	-1	21
83	-1	88
82	1	28
0	1	23
83	-1	89
0	-1	16
6	1	71
66	1	3
42	1	25
17	-1	25
35	-1	46
27	-1	78
84	1	25
46	-1	26
68	1	6
33	1	17
16	1	64
41	-1	44
37	-1	7
37	-1	1
16	-1	61
56	-1	38
87	1	11
82	-1	10
54	1	66
24	1	33
63	-1	85
43	-1	1
80	1	42
38	-1	69
37	1	71
43	1	31
16	-1	66
47	-1	30
79	1	85
73	1	77
84	1	19
30	1	39
30	1	58
17	1	33
42	1	7
56	1	33
47	-1	38
75	1	27
66	-1	47
47	1	34
23	-1	14
57	-1	35
5	1	6
24	-1	20
81	1	45
5	1	0
50	-1	32
30	-1	20
32	1	1
30	1	85
22	-1	23
6	1	54
83	-1	29
65	-1	37
40	-1	5
13	1	10
15	1	70
2	-1	41
39	1	32
54	-1	3
19	-1	12
27	-1	55
21	1	53
47	-1	84
47	1	83
45	-1	10
12	-1	36
80	-1	28
16	-1	40
3	-1	81
42	1	51
77	1	8
53	1	52
3	-1	85
70	-1	29
79	-1	9
43	1	19
87	-1	81
22	-1	15
31	-1	8
30	-1	4
51	-1	31
5	1	86
73	1	56
31	-1	37
79	-1	2
55	1	26
35	-1	34
33	1	29
